AD,nodeID,subjectID,tractID,MD,RD_Avg,MD_Avg,RD,AD_Avg,FA_Avg,FA
0.00147274,51,elmo.2005,lh.ilf_AS,0.000996108,0.000599901,0.000811744,0.000757793,0.00123543,0.44084700000000004,0.396334
,52,elmo.2005,lh.ilf_AS,,,,,,,
,0,elmo.2008,lh.ilf_AS,,,,,,,
,1,elmo.2008,lh.ilf_AS,,,,,,,
,2,elmo.2008,lh.ilf_AS,,,,,,,
0.00146562,3,elmo.2008,lh.ilf_AS,0.000999543,0.0007186919999999999,0.000914977,0.0007665110000000001,0.00130754,0.37701399999999996,0.411918
0.00131676,4,elmo.2008,lh.ilf_AS,0.0008192789999999999,0.0007264239999999999,0.000935341,0.000570538,0.00135317,0.392511,0.522987
0.0015994000000000002,5,elmo.2008,lh.ilf_AS,0.00110086,0.0007593389999999999,0.0009719910000000001,0.000851576,0.0013973,0.394491,0.42550200000000005
0.00209362,6,elmo.2008,lh.ilf_AS,0.00159763,0.000809577,0.00102229,0.00134963,0.00144774,0.388662,0.311867
0.00141786,7,elmo.2008,lh.ilf_AS,0.000865477,0.000767768,0.000984504,0.000589282,0.00141798,0.407221,0.553091
0.00120089,8,elmo.2008,lh.ilf_AS,0.000683358,0.00072347,0.000945988,0.00042459400000000003,0.00139102,0.42871800000000004,0.585445
0.00110481,9,elmo.2008,lh.ilf_AS,0.000639543,0.00070765,0.000922783,0.00040691,0.00135305,0.425808,0.575087
0.00120888,10,elmo.2008,lh.ilf_AS,0.0008679919999999999,0.000691926,0.00088967,0.000697548,0.00128517,0.40381,0.347482
0.00109062,11,elmo.2008,lh.ilf_AS,0.000808687,0.000667608,0.0008483039999999999,0.000667718,0.00120971,0.387531,0.31869400000000003
0.00105172,12,elmo.2008,lh.ilf_AS,0.000725552,0.00063356,0.0008267000000000001,0.000562467,0.00121298,0.414657,0.389849
0.00119032,13,elmo.2008,lh.ilf_AS,0.00083434,0.000607714,0.0008219319999999999,0.000656346,0.00125035,0.45388599999999996,0.39065300000000003
0.00120744,14,elmo.2008,lh.ilf_AS,0.0007763789999999999,0.0005564480000000001,0.00080665,0.0005608459999999999,0.00130706,0.519466,0.495688
0.00132063,15,elmo.2008,lh.ilf_AS,0.0007694710000000001,0.000500663,0.000780654,0.000493894,0.00134063,0.5784600000000001,0.590775
0.00153587,16,elmo.2008,lh.ilf_AS,0.0008779189999999999,0.00048056300000000004,0.0007758180000000001,0.000548943,0.00136633,0.600432,0.588387
0.00167762,17,elmo.2008,lh.ilf_AS,0.000929021,0.000463225,0.00077782,0.000554723,0.00140702,0.628182,0.611834
0.0016733,18,elmo.2008,lh.ilf_AS,0.0008427539999999999,0.000439648,0.000772346,0.000427484,0.00143774,0.652728,0.702384
0.00163441,19,elmo.2008,lh.ilf_AS,0.0008060160000000001,0.000447652,0.00078807,0.00039182199999999995,0.0014689,0.645941,0.718804
0.00163922,20,elmo.2008,lh.ilf_AS,0.0008767410000000001,0.00047518699999999996,0.00081026,0.000495501,0.0014804,0.622388,0.641349
0.00184913,21,elmo.2008,lh.ilf_AS,0.0009528739999999999,0.00049305,0.000831327,0.000504746,0.00150788,0.613883,0.678951
0.00176319,22,elmo.2008,lh.ilf_AS,0.000891448,0.000487365,0.000836321,0.000455579,0.00153423,0.624763,0.697797
0.00173363,23,elmo.2008,lh.ilf_AS,0.000848872,0.000471158,0.0008356419999999999,0.000406493,0.00156461,0.645369,0.72634
0.00198997,24,elmo.2008,lh.ilf_AS,0.0009548339999999999,0.000465984,0.000843871,0.000437266,0.00159964,0.660659,0.748686
0.00198399,25,elmo.2008,lh.ilf_AS,0.00103665,0.00051088,0.0008654089999999999,0.0005629680000000001,0.00157446,0.625788,0.669453
0.0018395,26,elmo.2008,lh.ilf_AS,0.00097015,0.000548336,0.00086897,0.00053547,0.00151023,0.578978,0.659813
0.00178485,27,elmo.2008,lh.ilf_AS,0.000961642,0.0005793819999999999,0.000883509,0.00055004,0.00149176,0.547896,0.641861
0.00146465,28,elmo.2008,lh.ilf_AS,0.0008878110000000001,0.000589956,0.000891227,0.0005993940000000001,0.00149377,0.540194,0.513035
0.00132029,29,elmo.2008,lh.ilf_AS,0.000858021,0.000584307,0.000887152,0.000626886,0.00149284,0.539892,0.44226499999999996
0.00129101,30,elmo.2008,lh.ilf_AS,0.000860412,0.000586417,0.0008937039999999999,0.0006451159999999999,0.00150828,0.5402939999999999,0.40962
0.00150391,31,elmo.2008,lh.ilf_AS,0.0008699080000000001,0.000578692,0.000888153,0.0005529069999999999,0.00150707,0.54715,0.561427
0.00128745,32,elmo.2008,lh.ilf_AS,0.000820503,0.000586599,0.0008932030000000001,0.000587029,0.0015064,0.541423,0.46681000000000006
0.00122931,33,elmo.2008,lh.ilf_AS,0.000853848,0.000603666,0.000903609,0.0006661169999999999,0.0015035,0.531226,0.409743
0.00125856,34,elmo.2008,lh.ilf_AS,0.000918822,0.000616679,0.0009069389999999999,0.00074895,0.00148746,0.51979,0.38008200000000003
0.00132236,35,elmo.2008,lh.ilf_AS,0.0009044560000000001,0.000614875,0.000890973,0.000695505,0.00144317,0.505031,0.41693
0.00129658,36,elmo.2008,lh.ilf_AS,0.000930495,0.000629151,0.0008770830000000001,0.000747453,0.00137295,0.468807,0.373747
0.00133259,37,elmo.2008,lh.ilf_AS,0.0008858280000000001,0.000616971,0.000857271,0.000662445,0.00133788,0.46242799999999995,0.427508
0.00127131,38,elmo.2008,lh.ilf_AS,0.0008370439999999999,0.000599722,0.0008448230000000001,0.000619912,0.00133504,0.46870900000000004,0.422725
0.00132187,39,elmo.2008,lh.ilf_AS,0.000834277,0.000596285,0.000841788,0.0005904819999999999,0.0013327999999999999,0.46703599999999995,0.47113299999999997
0.00129832,40,elmo.2008,lh.ilf_AS,0.000805779,0.0005868630000000001,0.000835731,0.000559508,0.00133347,0.47572299999999995,0.494925
0.00119739,41,elmo.2008,lh.ilf_AS,0.000712481,0.00056824,0.0008244839999999999,0.00047003,0.00133698,0.49493100000000007,0.562346
0.00103135,42,elmo.2008,lh.ilf_AS,0.0006891289999999999,0.000550296,0.0008166110000000001,0.0005180219999999999,0.00134924,0.515169,0.517319
0.00135831,43,elmo.2008,lh.ilf_AS,0.0007710460000000001,0.00055001,0.0008191339999999999,0.000477415,0.00135738,0.515188,0.602476
