tract,subject,pos,FA
5.0,1.0,3.0,0.3073
5.0,1.0,4.0,0.35508
5.0,1.0,5.0,0.38736
5.0,1.0,6.0,0.40969
5.0,1.0,7.0,0.4219
5.0,1.0,8.0,0.42958
5.0,1.0,9.0,0.43628
5.0,1.0,10.0,0.44206
5.0,1.0,11.0,0.45075
5.0,1.0,12.0,0.46463
5.0,1.0,13.0,0.47778
5.0,1.0,14.0,0.49407
5.0,1.0,15.0,0.51186
5.0,1.0,16.0,0.52212
5.0,1.0,17.0,0.52553
5.0,1.0,18.0,0.52126
5.0,1.0,19.0,0.51477
5.0,1.0,20.0,0.51249
5.0,1.0,21.0,0.51711
5.0,1.0,22.0,0.5244
5.0,1.0,23.0,0.53097
5.0,1.0,24.0,0.53714
5.0,1.0,25.0,0.54502
5.0,1.0,26.0,0.55259
5.0,1.0,27.0,0.55953
5.0,1.0,28.0,0.563
5.0,1.0,29.0,0.56394
5.0,1.0,30.0,0.56887
5.0,1.0,31.0,0.57373
5.0,1.0,32.0,0.57927
5.0,1.0,33.0,0.58645
5.0,1.0,34.0,0.59271
5.0,1.0,35.0,0.60021
5.0,1.0,36.0,0.60595
5.0,1.0,37.0,0.61222
5.0,1.0,38.0,0.62038
5.0,1.0,39.0,0.63681
5.0,1.0,40.0,0.65713
5.0,1.0,41.0,0.67621
5.0,1.0,42.0,0.68893
5.0,1.0,43.0,0.69642
5.0,1.0,44.0,0.70098
5.0,1.0,45.0,0.70299
5.0,1.0,46.0,0.70499
5.0,1.0,47.0,0.70605
5.0,1.0,48.0,0.7061
5.0,1.0,49.0,0.7021
5.0,1.0,50.0,0.69664
5.0,1.0,51.0,0.68894
5.0,1.0,52.0,0.68093
5.0,1.0,53.0,0.67638
5.0,1.0,54.0,0.67253
5.0,1.0,55.0,0.6683
5.0,1.0,56.0,0.6664
5.0,1.0,57.0,0.66676
5.0,1.0,58.0,0.66712
5.0,1.0,59.0,0.66616
5.0,1.0,60.0,0.66491
5.0,1.0,61.0,0.65938
5.0,1.0,62.0,0.64907
5.0,1.0,63.0,0.64152
5.0,1.0,64.0,0.6324
5.0,1.0,65.0,0.62381
5.0,1.0,66.0,0.61904
5.0,1.0,67.0,0.61315
5.0,1.0,68.0,0.60683
5.0,1.0,69.0,0.60141
5.0,1.0,70.0,0.59036
5.0,1.0,71.0,0.57307
5.0,1.0,72.0,0.55129
5.0,1.0,73.0,0.53099
5.0,1.0,74.0,0.5144
5.0,1.0,75.0,0.50072
5.0,1.0,76.0,0.49238
5.0,1.0,77.0,0.49148
5.0,1.0,78.0,0.49123
5.0,1.0,79.0,0.49321
5.0,1.0,80.0,0.49102
5.0,1.0,81.0,0.4848
5.0,1.0,82.0,0.4715
5.0,1.0,83.0,0.45057
5.0,1.0,84.0,0.43198
5.0,1.0,85.0,0.42225
5.0,1.0,86.0,0.41194
5.0,1.0,87.0,0.40247
5.0,1.0,88.0,0.39604
5.0,1.0,89.0,0.39272
5.0,1.0,90.0,0.38671
5.0,1.0,91.0,0.37698
5.0,1.0,92.0,0.36871
5.0,1.0,93.0,0.36107
5.0,1.0,94.0,0.35266
5.0,1.0,95.0,0.34349
5.0,1.0,96.0,0.33638
5.0,1.0,97.0,0.32534
5.0,1.0,98.0,0.29395
5.0,1.0,99.0,0.24075
5.0,1.0,100.0,0.17764
6.0,1.0,1.0,0.2083
6.0,1.0,2.0,0.2676
6.0,1.0,3.0,0.32502
6.0,1.0,4.0,0.36464
6.0,1.0,5.0,0.39264
6.0,1.0,6.0,0.41246
6.0,1.0,7.0,0.4301
6.0,1.0,8.0,0.44618
6.0,1.0,9.0,0.45987
6.0,1.0,10.0,0.46978
6.0,1.0,11.0,0.47362
6.0,1.0,12.0,0.47545
6.0,1.0,13.0,0.48022
6.0,1.0,14.0,0.48711
6.0,1.0,15.0,0.491
6.0,1.0,16.0,0.49674
6.0,1.0,17.0,0.5034
6.0,1.0,18.0,0.50995
6.0,1.0,19.0,0.51302
6.0,1.0,20.0,0.51441
6.0,1.0,21.0,0.51022
6.0,1.0,22.0,0.50451
6.0,1.0,23.0,0.49871
6.0,1.0,24.0,0.49506
6.0,1.0,25.0,0.48986
6.0,1.0,26.0,0.48229
6.0,1.0,27.0,0.48288
6.0,1.0,28.0,0.48738
6.0,1.0,29.0,0.48693
6.0,1.0,30.0,0.48929
6.0,1.0,31.0,0.49301
6.0,1.0,32.0,0.49941
6.0,1.0,33.0,0.50958
6.0,1.0,34.0,0.51957
6.0,1.0,35.0,0.52987
6.0,1.0,36.0,0.54304
6.0,1.0,37.0,0.55631
6.0,1.0,38.0,0.56675
6.0,1.0,39.0,0.57374
6.0,1.0,40.0,0.57933
6.0,1.0,41.0,0.58496
6.0,1.0,42.0,0.58762
6.0,1.0,43.0,0.58908
6.0,1.0,44.0,0.58912
6.0,1.0,45.0,0.58887
6.0,1.0,46.0,0.58808
6.0,1.0,47.0,0.58742
6.0,1.0,48.0,0.5862
6.0,1.0,49.0,0.58405
6.0,1.0,50.0,0.57865
6.0,1.0,51.0,0.57269
6.0,1.0,52.0,0.56632
6.0,1.0,53.0,0.55844
6.0,1.0,54.0,0.55059
6.0,1.0,55.0,0.542
6.0,1.0,56.0,0.5292
6.0,1.0,57.0,0.51849
6.0,1.0,58.0,0.50881
6.0,1.0,59.0,0.49903
6.0,1.0,60.0,0.48977
6.0,1.0,61.0,0.48175
6.0,1.0,62.0,0.47524
6.0,1.0,63.0,0.46711
6.0,1.0,64.0,0.46051
6.0,1.0,65.0,0.45432
6.0,1.0,66.0,0.44608
6.0,1.0,67.0,0.43637
6.0,1.0,68.0,0.42596
6.0,1.0,69.0,0.41791
6.0,1.0,70.0,0.40908
6.0,1.0,71.0,0.39632
6.0,1.0,72.0,0.38576
6.0,1.0,73.0,0.38383
